GEOID,ch_1mi,ch_range
2240,0,3.229633917
2275,0,14.71992032
2282,0,0
2290,0,1.457492931
4001,0,366.5066096
4003,1.185974597,354.8063144
4005,13.44667285,660.9876559
4007,0.594528842,819.8458938
4009,0.516551796,751.0128185
4011,0,706.068991
4012,0.841502258,1352.854386
4013,38.31993966,829.9952842
4015,1.791533569,919.0229054
4017,0.376871526,652.4855674
4019,11.62057091,733.3946312
4021,1.762829035,812.2593423
4023,0,654.4973387
4025,3.310590544,803.1212758
4027,2.127711378,1670.883297
5001,0,213.4980012
5003,0,182.38485
5005,0,352.6901111
5007,10.34400205,387.8876568
5009,0,374.9201066
5011,0,184.8448866
5013,0,178.7583333
5015,1.080500321,402.2067565
5017,0,208.9712451
5019,0.516807663,200.3472092
5021,0,418.692794
5023,0.597614013,311.7132027
5025,0,192.9315391
5027,0,138.6882727
5029,0,311.2447954
5031,1.252280415,243.9526132
5033,0.512468709,395.387639
5035,2.424505488,203.6078626
5037,0.674710425,219.7739503
5039,0,185.2779027
5041,0,204.8192061
5043,0,196.5073099
5045,4.409543269,278.0334615
5047,0.198594321,362.545291
5049,0,415.3532233
5051,3.127964621,214.2464384
5053,0,242.4122552
5055,1.270770184,287.648959
5057,0.368379811,197.3413229
5059,0,236.3694419
5061,0,399.2323811
5063,0,306.0566982
5065,0,342.8807002
5067,0.426780222,305.025964
5069,1.114704285,181.2240359
5071,0.507837583,349.7036449
5073,0,258.6716706
5075,0,330.3999152
5077,0,208.2580609
5079,0,194.4716825
5081,0,713.4345889
5083,0,354.7842638
5085,0.188428577,259.2173776
5087,0,376.0929665
5089,0,360.6531412
5091,0.89959784,551.8860853
5093,0.080829066,309.4667118
5095,0.449193197,213.5782817
5097,0,303.3985944
5099,0,171.5751
5101,0,376.2450664
5103,0.252701615,147.805738
5105,0,312.2660027
5107,0.588948267,207.6053661
5109,0,258.3226619
5111,0.128142502,230.3965975
5113,0,501.0031002
5115,1.114507399,340.433423
5117,0,255.1667486
5119,11.83556699,238.5278291
5121,0.56016505,434.221423
5123,0.702751501,199.2025356
5125,0.649863625,244.8131416
5127,0,379.606096
5129,0,356.4951887
5131,0.703117412,376.6640401
5133,0,778.8777955
5135,0,356.3726549
5137,0,328.4887935
5139,1.097853616,152.732559
5141,0,325.8598142
5143,6.848499987,369.4574425
5145,0,281.8424135
5147,0,265.3711595
5149,0.024364061,346.5872579
6001,144.3626479,6394.088778
6003,0,6439
6005,1.487712375,6555.84604
6007,9.564411849,5346.077499
6009,0.313061884,6552.963428
6011,1.433902564,6167.295426
6013,56.2002199,6424.219201
6015,4.103351148,267.7361332
6017,14.8514014,6447.522178
6019,75.02986354,5765.624561
6021,1.006414825,5922.216999
6023,10.65167045,382.8401849
6025,1.093615018,3818.263307
6027,1.517624094,1265.822699
6029,16.69855276,6627.974124
6031,7.793990337,5644.385916
6033,0.520271952,6076.103569
6035,0.596503268,1327.919641
6037,211.4803156,7166.70451
6039,7.699137406,6475.492654
6041,77.27411242,6067.9696
6043,1.187597436,6620.709048
6045,8.264745724,5248.073952
6047,4.844289102,6695.103062
6049,0.840054219,378.861064
6051,2.913650573,3762.844182
6053,27.45959716,6389.585267
6055,48.18939613,6257.275958
6057,7.890038927,5714.572216
6059,225.225237,7067.394653
6061,36.681551,6390.433939
6063,0.526480577,2639.466621
6065,31.69602693,6943.135945
6067,64.30656173,6485.625594
6069,7.944871399,6561.265813
6071,34.1709103,7065.207004
6073,82.03667662,6792.45756
6075,299.9412678,6136.647848
6077,13.19751602,6575.924996
6079,20.70277187,5023.324766
6081,321.4339956,6296.335067
6083,33.4561773,5712.782259
6085,364.3144417,6427.230987
6087,28.24721602,6408.890541
6089,5.187418766,1501.150876
6091,0,4583.534161
6093,2.318204798,329.9669087
6095,33.47620901,6443.328546
6097,37.0273993,6037.624163
6099,7.302547438,6630.800617
6101,7.279281524,6114.866542
6103,3.013572052,3139.031507
6105,0.098875688,1066.98485
6107,5.116073757,4730.828835
6109,4.382939036,6572.504885
6111,32.53083909,7231.395741
6113,61.48751223,6409.170272
6115,4.882565399,6107.590849
8001,37.36543531,1410.853626
8003,3.05429332,1090.26899
8005,51.43407182,1413.085852
8007,0.831468943,579.932514
8009,0,132.4761905
8011,0,995.041219
8013,83.70372549,1407.536038
8014,67.00823685,1412.519599
8015,5.332482355,1510.035691
8017,0,1142.284642
8019,1.75558586,1467.294556
8021,0,674.3907749
8023,0,950.6905512
8025,0,1229.714635
8027,0.276867031,1530.129933
8029,0.770888874,996.9961311
8031,131.8476374,1412.751312
8033,0,353.2552743
8035,21.07164517,1420.867227
8037,13.48588064,1484.45373
8039,0,1412.189706
8041,14.74331984,1411.432865
8043,0.489198533,1466.294479
8045,6.742404161,1442.350877
8047,1.826457105,1466.429437
8049,2.725218847,1458.286946
8051,2.51521701,1520.008996
8053,0,969
8055,0.468015955,1284.807062
8057,0,1437.853343
8059,50.2438359,1417.303728
8061,0,1076.679426
8063,0.09922716,1143.042368
8065,2.528616953,1508.12441
8067,8.669688981,387.2122448
8069,30.97716555,1399.348636
8071,1.400055854,474.6036445
8073,0.111626248,1315.677425
8075,0,1171.234808
8077,14.96100339,441.3656398
8079,0,1296
8081,3.799239544,1370.363878
8083,0.729422067,273.8952258
8085,4.187133396,644.0464522
8087,0.664709788,1312.886187
8089,1.875246117,1105.209254
8091,1.126584867,590.6484663
8093,0.529299537,1489.561134
8095,0,1099.690306
8097,17.89015573,1515.695495
8099,0,531.0331533
8101,9.087311543,1382.540433
8103,0.846600722,1353.720364
8105,0.714247788,1320.228938
8107,9.345222578,1423.796579
8109,0,1444.833135
8111,1,545
8113,3.744512947,413.3276202
8115,0,1044.500434
8117,18.96684562,1476.459411
8119,1.743044714,1455.277771
8121,1.175189977,1245.076812
8123,6.649867307,1400.462321
8125,0,1156.682413
9001,20.32897599,5907.442719
9003,20.22683217,5677.838314
9005,2.32512987,6050.209172
9007,9.060230303,5726.823039
9009,18.59547195,5938.834115
9011,8.296273813,5463.601646
9013,5.49822123,5635.374251
9015,2.697952116,5557.309163
10001,3.669435698,4505.361822
10003,18.26220209,4571.543467
10005,4.692936777,3913.689905
11001,284.0761367,3395.387011
12001,23.9819511,1422.34178
12003,0,1375.433488
12005,2.560191253,267.8538395
12007,0.07614616,1440.341233
12009,6.447931906,1952.136119
12011,35.71819101,1108.787813
12013,0,317.3515778
12015,1.847799662,2058.846143
12017,2.748982682,1477.616299
12019,2.37941141,1345.830135
12021,8.258632643,1847.807481
12023,2.309218878,1357.024373
12027,1.161649407,2096.933157
12029,0,1429.844564
12031,16.8357436,1127.238847
12033,2.417949989,189.9188547
12035,2.395608485,1376.95908
12037,1.577136142,300.8498405
12039,0,367.5707515
12041,0,1447.180214
12043,0,2083.042462
12045,0,259.911232
12047,0,1057.766479
12049,0,2136.627743
12051,1.516203704,2065.11521
12053,0.434257997,1475.063891
