"GEOID","mean_EV_range"
8079,261.804394046775
8081,251.572160546541
8083,246.06862745098
8085,242.363033662914
8087,246.04772968667
8089,246.23191930109
8091,250.960661600358
8093,246.949299474606
8095,252.248751486326
8097,240.080485338726
8099,249.830474268416
8101,237.526575276575
8103,259.885342789598
8105,249.321795629061
8107,241.749565792738
8109,247.484521977082
8111,254.20399113082
8113,244.450251779823
8115,250.098952270081
8117,236.609359605911
8119,243.775049716996
8121,251.783252273208
8123,237.837250436667
8125,253.377751572327
9000,244.645161290323
9001,226.310631320033
9003,226.956288738438
9005,233.334682647608
9007,233.343342893673
9009,227.428092854609
9011,231.662567188595
9013,233.835768579418
9015,235.131794741736
10000,241.363636363636
10001,232.720425627384
10003,227.80007543486
10005,231.704951408871
11000,205.266666666667
11001,225.31178508579
12000,210.4140969163
12001,233.512767446815
12003,248.293879090823
12005,236.205557594156
12007,245.742726594554
12009,231.48628524969
12011,227.217887904132
12013,249.839157637723
12015,234.370232291368
12017,236.202340846734
12019,236.498972712681
12021,230.86984810486
12023,239.978538283063
12027,241.631453664943
12029,247.304101490331
12031,231.042772562112
12033,233.409893602321
12035,236.224523247911
12037,246.880376136889
12039,241.942490494297
12041,248.095990003408
12043,245.620949631056
12045,247.079969340828
12047,246.38742822605
12049,246.561843409316
12051,240.242486139481
12053,235.48848567068
12055,237.165696253167
12057,230.389118321862
12059,246.929837164751
12061,235.558717314251
12063,245.190378638033
12065,248.56725070858
12067,252.655493482309
12069,234.272991732163
12071,230.501825027856
12073,234.111323345073
12075,243.354099975376
12077,252.629429133858
12079,248.39573856835
12081,233.026334951456
12083,233.99938414544
12085,233.468944611025
12086,226.422032996275
12087,233.43400851503
12089,241.793403964457
12091,235.856107564684
12093,242.406559766764
12095,228.705108485781
12097,230.771645140105
12099,229.461448999984
12101,232.529448811551
12103,228.217298521034
12105,233.051081172396
12107,239.099889513861
12109,235.443362883133
12111,232.299336466685
12113,239.179433225861
12115,231.143078007412
12117,232.33146405449
12119,238.755837392911
12121,242.399378294364
12123,249.490692807578
12125,250.184760724795
12127,231.226439648628
12129,246.296941478687
12131,238.092583742451
12133,247.624844244225
13000,243.091240875912
13001,249.975536193029
13003,250.35201793722
13005,252.386673231577
13007,252.479093395858
13009,241.397173348716
13011,247.059818322381
13013,237.711657265646
13015,238.956990512036
13017,246.151584574265
13019,248.593334886973
13021,235.51578820262
13023,247.658038147139
13025,248.211662019639
13027,247.664648622982
13029,243.374935798665
13031,242.952192548632
13033,245.714494607933
13035,242.778371391642
13037,250.314620234164
13039,241.524475104979
13043,247.602873104549
13045,238.708992265959
13047,239.618750998243
13049,247.018766290182
13051,232.422416197222
13053,244.059138585137
13055,246.547066349845
13057,235.501833878795
13059,233.314448226442
13061,249.291150848235
13063,229.185835427136
13065,252.368191721133
13067,229.972909601783
13069,245.383663182863
13071,243.049979600163
13073,238.268314275175
13075,246.923503861004
13077,239.052855137771
13079,244.926519706079
13081,245.624609897459
13083,243.713802751224
13085,243.767363355599
13087,246.664007092199
13089,226.443006280767
13091,244.77625464684
13093,248.113843991567
13095,236.044840738068
13097,234.219329298466
13099,250.177435387674
13101,251.103839122486
13103,242.814585115483
13105,246.002805184755
13107,246.121341973244
13109,248.00654691959
13111,244.113102827571
13113,235.525698387036
13115,238.229426323698
13117,236.562015621676
13119,244.179529047783
13121,228.667718300147
13123,243.516251466427
13125,257.177804779263
13127,236.613032333498
13129,241.631747965229
13131,244.36195743883
13133,244.622857658308
13135,228.620262444102
13137,242.822994011976
13139,235.020110445029
13141,245.677558685446
13143,244.499654298225
13145,244.633442937389
13147,243.58818513063
13149,247.780286343612
13151,234.57522745411
13153,237.008888062477
13155,251.183839479393
13157,239.306780204184
13159,246.232810081804
13161,251.72977412731
13163,245.832142006195
13165,251.509621353197
13167,250.0164878824
13169,244.547773346627
13171,245.064288676898
13173,249.509351974306
13175,241.616597991244
13177,245.669677633215
13179,240.014869466515
13181,247.734390820115
13183,245.615873015873
13185,238.39781420765
13187,242.765866514709
13189,245.0671253254
13191,245.640037095919
13193,244.459974587039
13195,243.673474001507
13197,247.730769230769
13199,244.285638203444
13201,254.640099009901
13205,246.661304161304
13207,244.70675703714
13209,251.069872585286
13211,246.046343612335
13213,243.083622183709
13215,232.272518901167
13217,235.835003420661
13219,240.742990962465
13221,243.915186308492
13223,238.051240461533
13225,240.632029444492
13227,244.019905028296
13229,249.541152496321
13231,245.715341440599
13233,243.849781428004
13235,246.809355856692
13237,244.289894990532
13239,249.639599555061
13241,246.692684278589
13243,250.715044675199
13245,233.176320010922
13247,234.055384190415
13249,252.223862238622
13251,247.929091605979
13253,250.778736687477
13255,237.429583479877
13257,243.390694298847
13259,248.514679872657
13261,241.307909090909
13263,246.593623804463
13265,246.242718446602
13267,247.374350649351
13269,249.356069364162
13271,247.647038685382
13273,247.640274429816
13275,243.410090725148
13277,241.98099024214
13279,244.507378904482
13281,246.563806694847
13283,247.956046624575
13285,238.323541842773
13287,250.178154205607
13289,245.217699115044
13291,244.253465198172
13293,242.504515911201
13295,241.444473505257
13297,237.963214256519
13299,241.128806007096
13301,247.013213780085
13303,247.036467116357
13305,245.830822212656
13307,251.83848638671
13309,249.418300653595
13311,244.80423205283
13313,236.909884977947
13315,250.751485568761
13317,247.528409947249
13319,249.133442088091
13321,247.847160178685
15000,240.666666666667
15001,237.11887492764
15003,231.724352677694
15005,248.421052631579
15007,239.165816775101
15009,234.224571676426
16000,250.35
16001,230.769021849285
16003,255.963858363858
16005,237.058116670308
16007,252.293062672448
16009,249.179374584165
16011,243.209432902864
16013,236.768861556922
16015,250.318133776234
16017,239.70827217446
16019,236.776123824335
16021,246.967892586106
16023,249.027402135231
16025,258.954128440367
16027,235.586544619983
16029,252.677737881508
16031,247.358984375
16033,251.633405639913
16035,252.978761348898
16037,254.469373549884
16039,242.527134511156
16041,245.457155879672
16043,247.116006225308
16045,244.630746629796
16047,246.38846945779
16049,248.183646917534
16051,244.011571986775
16053,244.976303317536
16055,234.246531513676
16057,240.132376961864
16059,248.803767176162
16061,253.712606837607
16063,249.022828154724
16065,239.777078965758
16067,248.398380633025
16069,241.797521392741
16071,249.101952277657
16073,246.779542566709
16075,243.954374375912
16077,250.733821138211
16079,244.157534246575
16081,244.688763032565
16083,240.30486663547
16085,248.702308626974
16087,246.114653826132
17000,223.537572254335
17001,238.841001024756
17003,244.648459746311
17005,245.029202545863
17007,236.868485028165
17009,249.155881507046
17011,243.084016064257
17013,247.986540664376
17015,243.822334384858
17017,244.169381107492
17019,231.748182559665
17021,242.233386967015
17023,246.608695652174
17025,245.589042958129
17027,242.132650668334
17029,239.390543768442
17031,225.161897225733
17033,246.10015357613
17035,246.089190981432
17037,235.335736989421
17039,243.036173430804
17041,241.115608919383
17043,226.336538289056
17045,245.842726081258
17047,251.728058208276
17049,239.496062433487
17051,246.185571636935
17053,242.393232364579
17055,242.665313181442
17057,243.037775010378
17059,251.741626794258
17061,248.242424242424
17063,237.872971323978
17065,250.642575039494
17067,246.969004176742
17069,251.470658207772
17071,247.719935617383
17073,242.212677388836
17075,242.029983108108
17077,237.840890089395
17079,249.532625189681
17081,238.713010301412
17083,245.017035942885
17085,241.757681692732
17087,247.099679438254
17089,229.357105063378
17091,232.924420395055
17093,234.071744680851
17095,238.73517917467
17097,228.741730672739
17099,237.700561845578
17101,245.638100512253
17103,239.69589715102
17105,240.645023696682
17107,241.071435356702
17109,241.894856353046
17111,230.347902772419
17113,233.460047802905
17115,234.736941813261
17117,242.481290654988
17119,234.401944656601
17121,241.278474239413
17123,243.030822432717
17125,245.62988376978
17127,244.428377645144
17129,244.733221241418
17131,249.443237304688
17133,243.089242854026
17135,242.838764700602
17137,241.298346571568
17139,242.036879432624
17141,239.675193227825
17143,231.836876504988
17145,243.78864142539
17147,243.368266405485
17149,247.360811667724
17151,251.60962914769
17153,245.778895768834
17155,245.724335965542
17157,244.016867882524
17159,243.384737291235
17161,234.557454516815
17163,233.440085238054
17165,244.096046287367
17167,232.957052604013
17169,251.235132662397
17171,251.74194460147
17173,246.703425229741
17175,245.058947924927
17177,236.980965058236
17179,235.533036645016
17181,243.232136632973
17183,238.341078066914
17185,246.445048966268
17187,244.477589825904
17189,248.971872686899
17191,246.818047701008
17193,248.412569758172
17195,238.55202149597
17197,229.684035337464
17199,238.189437931412
17201,229.85103682981
17203,240.374083129584
18000,241.65147691851
18001,235.831733627792
18003,229.985551052186
18005,236.844154153285
18007,244.842458851192
18009,243.310674077241
18011,237.770208985927
18013,244.558195269355
18015,243.817103501052
18017,239.279734889417
18019,236.434115955918
18021,243.993481661742
18023,240.410946810859
18025,245.125413450937
18027,237.818431157433
18029,239.412818471338
18031,243.669836282454
18033,239.46869586736
18035,235.784566901563
18037,244.364274844902
18039,231.679386861314
18041,240.718388099049
18043,236.715715444955
18045,245.495301271421
18047,244.054430598823
18049,242.200906801008
18051,244.666592361421
18053,235.37684580337
18055,244.381902860945
18057,233.200880082718
18059,237.712642624754
18061,242.460376887558
18063,236.4309495055
18065,238.710192283524
18067,235.854062854606
18069,240.736138474529
18071,239.965561672719
18073,242.267382702092
18075,239.844729344729
18077,241.586757821208
18079,242.263369422572
18081,235.030851957654
18083,243.477597986336
18085,236.764053520115
18087,239.02537457709
18089,230.193862041218
18091,235.965402298851
18093,242.422828692606
18095,236.522776741294
18097,227.7376718493
18099,238.808876425044
18101,244.509296560273
18103,239.704600674034
18105,235.985994291151
18107,242.119986719788
18109,239.62635345935
18111,243.716010314112
18113,240.397310136344
18115,246.725454953943
18117,247.149182702255
18119,244.023157325644
18121,245.977026544459
18123,246.595195448319
18125,248.175959149876
18127,235.087115127175
18129,246.673876166243
18131,241.671106557377
18133,244.023123817532
18135,242.917574692443
18137,240.87792733214
18139,244.21504202598
18141,230.30795079008
18143,242.533786137234
18145,239.327533862681
18147,247.531058089198
18149,242.237648913805
18151,241.195146042049
18153,246.155487804878
18155,247.964898473162
18157,234.446681782801
18159,244.312755758213
18161,246.345571918499
18163,234.029271569788
18165,246.428453753824
18167,237.837650004317
18169,240.789363516552
18171,248.476141611083
18173,240.525530403005
18175,244.365577308463
18177,236.71187313356
18179,237.900771592135
18181,242.665052461663
18183,240.893984220907
19000,NA
19001,249.751111111111
19003,249.282563951779
19005,244.461752433936
19007,243.726016785023
19009,249.418413855971
19011,243.946586082979
19013,232.610025787294
19015,240.351924013639
19017,239.17079736378
19019,241.933353745662
19021,242.551101187456
19023,244.089959444513
19025,244.629050102734
19027,242.828246249353
19029,245.396048109966
19031,245.081497579769
19033,236.541400038782
19035,244.367361306674
19037,244.207085965394
19039,246.215444617785
19041,239.413067800403
19043,243.719667104687
19045,241.936729767501
19047,245.61003163127
19049,237.646242566228
19051,246.123474776908
19053,247.540559814584
19055,244.610472408027
19057,238.666622216296
19059,239.306076592419
19061,235.346133141934
19063,244.352179836512
19065,240.973226238286
19067,241.272748871466
19069,242.467756315007
19071,250.480941090644
19073,244.084534101825
19075,244.330979220426
19077,246.733961233961
19079,241.835991153533
19081,242.932962447844
19083,242.59725498606
19085,245.657083057942
19087,243.643895205141
19089,244.260009495173
19091,246.73247148289
19093,248.722830494728
19095,245.198912695875
19097,243.834115056954
19099,241.186894355221
19101,238.699372759857
19103,233.810341432678
19105,242.651108968177
19107,247.199801333901
19109,244.739949168207
19111,242.265147265077
19113,232.881721070015
19115,244.880043179058
19117,245.248043552229
19119,241.952698942682
19121,244.114169533938
19123,241.008165180666
19125,241.351303838265
19127,240.876115843271
